Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Accident_severity
8.97,Monday,31-50,Male,Junior high school,Employee,2-5yr,Stationwagen,Owner,2-5yrs,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,3,Waiting to go,Passenger,Male,Under 18,3,Unknown,Normal,Not a Pedestrian,Driving under the influence of drugs,Slight Injury
14.62,Monday,18-30,Male,High school,Employee,Above 10yr,Automobile,Owner,1-2yr,Unknown,Other,Unknown,Tangent road with flat terrain,O Shape,Unknown,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,Under 18,2,Unknown,Unknown,Not a Pedestrian,No distancing,Slight Injury
14.62,Monday,18-30,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,5-10yrs,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Unknown,Unknown,Unknown,Unknown,Self-employed,Normal,Not a Pedestrian,Overturning,Slight Injury
10.8,Wednesday,31-50,Male,Junior high school,Employee,Above 10yr,Special vehicle,Owner,Above 10yr,Unknown,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
10.8,Wednesday,31-50,Male,Writing & reading,Employee,2-5yr,Lorry (41?100Q),Owner,1-2yr,No defect,Other,other,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,Unknown,Unknown,Unknown,Unknown,Unknown,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
12.17,Wednesday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,2-5yrs,Unknown,Office areas,One way,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Wet or damp,Daylight,Windy,Collision with roadside objects,1,1,Getting off,Unknown,Unknown,Unknown,Unknown,Unknown,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
11.67,Monday,18-30,Male,High school,Employee,2-5yr,Public (> 45 seats),Owner,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Passenger,Female,Under 18,3,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
13.25,Thursday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,18-30,3,Self-employed,Normal,Unknown or other,Changing lane to the left,Slight Injury
13.25,Thursday,18-30,Male,High school,Employee,5-10yr,Automobile,Organization,2-5yrs,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Pedestrian,Female,Under 18,3,Unknown,Normal,Not a Pedestrian,No distancing,Slight Injury
13.25,Thursday,Over 51,Male,Elementary school,Employee,2-5yr,Automobile,Owner,Unknown,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Unknown,Unknown,Unknown,Unknown,Driver,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
13.25,Thursday,18-30,Male,Junior high school,Employee,1-2yr,Public (> 45 seats),Governmental,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,Driver or rider,Female,18-30,3,Other,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
16.5,Wednesday,Unknown,Male,Elementary school,Employee,1-2yr,Lorry (11?40Q),Owner,Unknown,No defect,Office areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Passenger,Female,18-30,3,Employee,Normal,Not a Pedestrian,No distancing,Slight Injury
20.27,Sunday,Over 51,Male,High school,Employee,No Licence,Pick up upto 10Q,Governmental,Below 1yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,2,1,Going straight,Passenger,Female,18-30,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
20.27,Sunday,31-50,Male,Junior high school,Owner,5-10yr,Lorry (11?40Q),Owner,Unknown,No defect,Other,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,2,1,Going straight,Driver or rider,Female,31-50,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
2.17,Sunday,18-30,Male,Junior high school,Employee,1-2yr,Pick up upto 10Q,Owner,Unknown,Unknown, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,Unknown,Unknown,Unknown,Unknown,Employee,Normal,Not a Pedestrian,Moving Backward,Slight Injury
2.17,Sunday,18-30,Male,Junior high school,Employee,2-5yr,Special vehicle,Owner,Unknown,Unknown, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Getting off,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Overtaking,Slight Injury
15.98,Saturday,Over 51,Male,Junior high school,Employee,5-10yr,Lorry (11?40Q),Owner,2-5yrs,No defect,Residential areas,Undivided Two way,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Unknown,Unknown,Unknown,Unknown,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
18.38,Wednesday,18-30,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Unknown,Unknown,Unknown,Unknown,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
18.38,Wednesday,Unknown,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,Male,18-30,2,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
17.67,Tuesday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,1-2yr,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,Female,Under 18,3,Unknown,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
17.67,Tuesday,31-50,Male,Junior high school,Employee,Above 10yr,Other,Owner,Above 10yr,No defect, Outside rural areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Unknown,Unknown,Unknown,Unknown,Unknown,Normal,Not a Pedestrian,No distancing,Slight Injury
12.17,Thursday,Over 51,Male,Junior high school,Owner,Above 10yr,Other,Owner,Above 10yr,No defect, Church areas,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,Under 18,3,Unknown,Normal,Not a Pedestrian,Moving Backward,Slight Injury
12.17,Thursday,Unknown,Male,Unknown,Unknown,Unknown,Automobile,Owner,Unknown,No defect,Office areas,other,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Unknown,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
8.0,Tuesday,Unknown,Male,Elementary school,Owner,Above 10yr,Other,Owner,Above 10yr,Unknown, Church areas,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,Passenger,Male,18-30,3,Unknown,Normal,Not a Pedestrian,No distancing,Slight Injury
16.92,Wednesday,18-30,Male,Unknown,Unknown,Unknown,Automobile,Unknown,Unknown,Unknown,Office areas,other,Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,Under 18,3,Unknown,Normal,Not a Pedestrian,Overtaking,Slight Injury
16.92,Wednesday,Over 51,Male,Junior high school,Owner,5-10yr,Public (13?45 seats),Governmental,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Pedestrian,Male,Under 18,3,Unknown,Unknown,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,Slight Injury
18.0,Saturday,18-30,Male,Junior high school,Owner,Above 10yr,Lorry (41?100Q),Owner,1-2yr,No defect,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Unknown,Unknown,Unknown,Unknown,Self-employed,Unknown,Not a Pedestrian,Changing lane to the left,Slight Injury
18.0,Saturday,Unknown,Male,High school,Owner,Above 10yr,Unknown,Owner,Below 1yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,Driving under the influence of drugs,Slight Injury
12.17,Thursday,31-50,Male,Unknown,Unknown,Unknown,Automobile,Owner,Unknown,No defect,Office areas,other,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Turnover,Pedestrian,Male,31-50,2,Unknown,Normal,Unknown or other,No distancing,Slight Injury
16.97,Thursday,Unknown,Male,Elementary school,Employee,5-10yr,Unknown,Owner,Unknown,No defect,Rural village areasOffice areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,Under 18,3,Unknown,Unknown,Crossing from driver's nearside,No distancing,Slight Injury
16.97,Thursday,Over 51,Male,Elementary school,Owner,Above 10yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,31-50,3,Driver,Normal,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)",Changing lane to the right,Slight Injury
11.28,Thursday,18-30,Male,Junior high school,Owner,Below 1yr,Unknown,Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,31-50,2,Unknown,Unknown,Not a Pedestrian,Changing lane to the left,Slight Injury
11.28,Thursday,31-50,Male,Junior high school,Owner,2-5yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not a Pedestrian,Moving Backward,Slight Injury
20.27,Sunday,Unknown,Male,Junior high school,Owner,2-5yr,Taxi,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Reversing,Driver or rider,Male,Under 18,2,Unknown,Unknown,Not a Pedestrian,No distancing,Slight Injury
23.73,Thursday,31-50,Male,High school,Owner,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,Over 51,2,Other,Normal,Crossing from driver's nearside,No distancing,Slight Injury
23.73,Thursday,Unknown,Male,Junior high school,Owner,Unknown,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Turnover,Driver or rider,Female,18-30,3,Employee,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
13.73,Friday,18-30,Male,Unknown,Owner,Below 1yr,Other,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Passenger,Female,18-30,3,Self-employed,Normal,Not a Pedestrian,Moving Backward,Slight Injury
10.67,Friday,Over 51,Male,Elementary school,Owner,Above 10yr,Stationwagen,Owner,Unknown,No defect,Office areas,Unknown,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Male,31-50,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
10.67,Friday,18-30,Male,Elementary school,Owner,Below 1yr,Stationwagen,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,18-30,3,Unknown,Unknown,Not a Pedestrian,Changing lane to the right,Slight Injury
1.3,Tuesday,18-30,Male,Junior high school,Owner,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,Under 18,3,Other,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
1.3,Tuesday,Under 18,Male,Junior high school,Owner,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,31-50,3,Unknown,Unknown,Unknown or other,Driving to the left,Slight Injury
15.78,Monday,31-50,Male,Unknown,Owner,Unknown,Other,Owner,2-5yrs,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Getting off,Unknown,Unknown,Unknown,Unknown,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
15.33,Monday,31-50,Male,Junior high school,Employee,1-2yr,Automobile,Owner,2-5yrs,Unknown,Residential areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Moving Backward,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
14.37,Tuesday,18-30,Male,High school,Owner,5-10yr,Unknown,Owner,2-5yrs,Unknown,School areas,Undivided Two way,Tangent road with mild grade and flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Passenger,Male,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
14.37,Tuesday,Over 51,Male,Junior high school,Employee,5-10yr,Taxi,Owner,2-5yrs,Unknown,Residential areas,Undivided Two way,Tangent road with mild grade and flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Turnover,Unknown,Unknown,Unknown,Unknown,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
14.37,Tuesday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
18.2,Tuesday,31-50,Male,Junior high school,Employee,5-10yr,Other,Owner,Unknown,No defect, Church areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Unknown,Unknown,Unknown,Unknown,Unknown,Driver,Normal,Not a Pedestrian,Turnover,Slight Injury
18.2,Tuesday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Male,18-30,3,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
20.75,Tuesday,18-30,Male,Junior high school,Employee,5-10yr,Public (> 45 seats),Owner,2-5yrs,No defect,Other,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Driving at high speed,Slight Injury
